#;Species;Mammal;BodyMass;PersecutionID;Persecution;Trophic.category;Social.behaviour
4;Ardeotis kori;0;1000;1000;zzignorezz;zzignorezz;zzignorezz
13;Eupodotis afra;0;1000;1000;zzignorezz;zzignorezz;zzignorezz
14;Eupodotis vigorsii;0;1000;1000;zzignorezz;zzignorezz;zzignorezz
23;Neotis ludwigii;0;1000;1000;zzignorezz;zzignorezz;zzignorezz
35;Pternistes capensis;0;1000;1000;zzignorezz;zzignorezz;zzignorezz
37;Scleroptila africanus;0;1000;1000;zzignorezz;zzignorezz;zzignorezz
8;Chlorocebus pygerythrus;1;4.8;1;medium;omnivore;social
15;Felis sylvestris;1;4.35;1;medium;carnivore;solitary
22;Mellivora capensis;1;12;1;medium;carnivore;solitary
25;Orycteropus afer;1;53;1;medium;insectivore;solitary
26;Oryx gazella;1;225;1;medium;herbivore;social
28;Panthera pardus;1;35;1;medium;carnivore;solitary
34;Proteles cristata;1;7.5;1;medium;insectivore;solitary
40;Taurotragus oryx;1;530;1;medium;herbivore;social
41;Tragelaphus strepsiceros;1;193.5;1;medium;herbivore;social
42;Vulpes chama;1;2.8;1;medium;carnivore;solitary
1;Alcelaphus buselaphus caama;1;136;0;low;herbivore;social
3;Aonyx capensis;1;14;0;low;carnivore;solitary
5;Atilax paludinosus;1;3.2;0;low;carnivore;solitary
9;Cynictis penicillata;1;0.83;0;low;insectivore;solitary
10;Dama dama;1;50;0;low;herbivore;solitary
11;Damaliscus pygargus phillipsi;1;61;0;low;herbivore;social
12;Equus zebra;1;244.5;0;low;herbivore;social
16;Galerella pulverulenta;1;0.7685;0;low;carnivore;solitary
17;Genetta genetta;1;1.85;0;low;omnivore;solitary
20;Ictonyx striatus;1;0.8285;0;low;carnivore;solitary
21;Lepus spp.;1;2.425;0;low;herbivore;solitary
24;Oreotragus oreotragus;1;11.9;0;low;herbivore;social
27;Otocyon megalotis;1;3.6;0;low;insectivore;social
30;Pelea capreolus;1;20;0;low;herbivore;social
32;Procavia capensis;1;3.55;0;low;herbivore;social
33;Pronolagus rupestris;1;1.6;0;low;herbivore;solitary
36;Raphicerus campestris;1;11.1;0;low;herbivore;solitary
38;Suricata suricatta;1;0.73;0;low;insectivore;social
39;Sylvicapra grimmia;1;19.7;0;low;herbivore;solitary
2;Antidorcas marsupialis;1;39;2;high;herbivore;social
6;Canis mesomelas;1;7.75;2;high;carnivore;social
7;Caracal caracal;1;11.75;2;high;carnivore;solitary
18;Hyaena brunnea;1;39;2;high;carnivore;social
19;Hystrix africaeaustralis;1;15.4;1;high;omnivore;social
29;Papio ursinus;1;25;2;high;omnivore;social
31;Potamochoerus larvatus;1;60.5;2;high;omnivore;solitary
