Station;SurveyID;KPPID;SurveyName;SurveyName1;Latitude;Longitude;Trail;HabitatID;Habitat;BiomeID;Biome;Elevation;DisturbanceIndex;LivestockIndex;MSAVI2;Nights;NightsPool;SmallPreyIndex;PreyIndex
1;1;ssu001;Koup;KoupSouth;-33.16784;21.47186;off-trail;1;plain;1;NamaKaroo;539.2794;0;12.96;0.1802;54;9;7.26;86.6
2;1;ssu002;Koup;KoupSouth;-33.16788;21.49344;off-trail;1;plain;1;NamaKaroo;542.3619;0;1.85;0.1773;54;9;4.84;139.3
3;1;ssu003;Koup;KoupSouth;-33.16745;21.51476;off-trail;1;plain;1;NamaKaroo;521;0;5.56;0.1795;54;9;60.5;218.3
4;1;ssu004;Koup;KoupSouth;-33.15001;21.42897;off-trail;1;plain;1;NamaKaroo;584;0;20.37;0.1819;54;9;26.62;54.6
5;1;ssu005;Koup;KoupSouth;-33.14996;21.45035;off-trail;2;mountain;1;NamaKaroo;574;0;3.7;0.1776;54;9;9.68;0
6;1;ssu006;Koup;KoupSouth;-33.14982;21.47158;trail;1;plain;1;NamaKaroo;534;0;7.41;0.1925;54;9;0;0
7;1;ssu007;Koup;KoupSouth;-33.14981;21.49322;trail;3;riverine;1;NamaKaroo;504;0;18.52;0.185;54;9;2.42;207
9;1;ssu009;Koup;KoupSouth;-33.1325;21.25734;off-trail;4;kloof;1;NamaKaroo;787;0;23.21;0.1786;56;9;0;62.1
11;1;ssu011;Koup;KoupSouth;-33.13235;21.30018;trail;3;riverine;1;NamaKaroo;773;0;0;0.177;61;10;0;86.6
12;1;ssu012;Koup;KoupSouth;-33.09593;21.40721;off-trail;1;plain;1;NamaKaroo;599;0;1.59;0.1823;63;10;0;32
13;1;ssu013;Koup;KoupSouth;-33.13251;21.34295;off-trail;1;plain;1;NamaKaroo;778;0;45;0.1734;60;10;2.42;41.4
14;1;ssu015;Koup;KoupSouth;-33.13205;21.38568;off-trail;1;plain;1;NamaKaroo;666;0;65;0.1871;60;10;12.1;337
16;1;ssu017;Koup;KoupSouth;-33.13179;21.42871;off-trail;1;plain;1;NamaKaroo;617;0;0;0.1947;54;9;12.1;11.3
17;1;ssu018;Koup;KoupSouth;-33.13198;21.45027;off-trail;1;plain;1;NamaKaroo;576;0;0;0.2106;54;9;12.1;404.7
18;1;ssu019;Koup;KoupSouth;-33.13191;21.47166;off-trail;1;plain;1;NamaKaroo;548;0;1.85;0.2155;54;9;7.26;90.4
19;1;ssu020;Koup;KoupSouth;-33.11446;21.23584;off-trail;1;plain;1;NamaKaroo;767;0;1.82;0.1669;55;9;9.68;129.9
20;1;ssu021;Koup;KoupSouth;-33.11445;21.25742;trail;3;riverine;1;NamaKaroo;719;0;1.82;0.1828;55;9;9.68;52.7
21;1;ssu022;Koup;KoupSouth;-33.11434;21.27881;off-trail;1;plain;1;NamaKaroo;696;0;14.55;0.1863;55;9;7.26;312.6
22;1;ssu023;Koup;KoupSouth;-33.11425;21.30011;off-trail;1;plain;1;NamaKaroo;679;1.851851852;24.07;0.1881;54;9;4.84;65.9
23;1;ssu024;Koup;KoupSouth;-33.11422;21.32156;off-trail;1;plain;1;NamaKaroo;660;0;0;0.2028;59;9;14.52;0
24;1;ssu025;Koup;KoupSouth;-33.11407;21.34289;off-trail;1;plain;1;NamaKaroo;649;8.771929825;0;0.1955;57;9;0;154.4
25;1;ssu026;Koup;KoupSouth;-33.11307;21.36267;off-trail;1;plain;1;NamaKaroo;642;0;0;0.1816;60;10;7.26;297.5
26;1;ssu027;Koup;KoupSouth;-33.11411;21.38604;trail;3;riverine;1;NamaKaroo;660;1.666666667;36.67;0.1803;60;10;0;11.3
27;1;ssu028;Koup;KoupSouth;-33.11401;21.40731;trail;3;riverine;1;NamaKaroo;646;0;31.67;0.1884;60;10;2.42;45.2
28;1;ssu029;Koup;KoupSouth;-33.11394;21.42874;off-trail;1;plain;1;NamaKaroo;635;0;18.33;0.1978;60;10;0;0
29;1;ssu030;Koup;KoupSouth;-33.11386;21.45018;off-trail;1;plain;1;NamaKaroo;600;0;20;0.1888;60;10;2.42;54.6
30;1;ssu031;Koup;KoupSouth;-33.11377;21.47164;off-trail;1;plain;1;NamaKaroo;575;0;0;0.2109;54;9;2.42;0
31;1;ssu032;Koup;KoupSouth;-33.09681;21.21464;trail;3;riverine;1;NamaKaroo;796;0;83.64;0.1632;55;9;4.84;169.4
32;1;ssu033;Koup;KoupSouth;-33.09642;21.23566;trail;3;riverine;1;NamaKaroo;741;0;0;0.1704;55;9;21.78;256
33;1;ssu034;Koup;KoupSouth;-33.09635;21.25709;off-trail;1;plain;1;NamaKaroo;733;0;0;0.1586;54;9;14.52;212.7
